concept_id,reader_language,inject_layer,read_layer,strength,probe_accuracy,baseline_rate,same_language_rate,other_language_rate,mean_random_rate,same_language_lift,transfer_lift,transfer_ratio,n_random,n_prompts
silat_rahim_001,ar,1,2,0.05,0.625,0.083333,1.0,0.166667,0.111111,0.888889,0.055556,0.0625,3,12
silat_rahim_001,ar,1,2,0.02,0.625,0.083333,0.75,0.083333,0.083333,0.666667,0.0,0.0,3,12
shura_001,en,20,21,0.2,0.4375,0.583333,1.0,0.75,0.694444,0.305556,0.055556,0.181818,3,12
shura_001,en,20,21,0.1,0.4375,0.583333,1.0,0.666667,0.638889,0.361111,0.027778,0.076923,3,12
shura_001,en,20,21,0.02,0.4375,0.583333,1.0,0.583333,0.583333,0.416667,0.0,0.0,3,12
shura_001,en,20,21,0.05,0.4375,0.583333,1.0,0.583333,0.583333,0.416667,0.0,0.0,3,12
shura_001,ar,20,21,0.02,0.5625,0.416667,1.0,0.333333,0.388889,0.611111,-0.055556,-0.090909,3,12
shura_001,ar,20,21,0.05,0.5625,0.416667,1.0,0.333333,0.472222,0.527778,-0.138889,-0.263158,3,12
shura_001,ar,20,21,0.1,0.5625,0.416667,1.0,0.25,0.527778,0.472222,-0.277778,-0.588235,3,12
shura_001,ar,20,21,0.2,0.5625,0.416667,1.0,0.25,0.638889,0.361111,-0.388889,-1.076923,3,12
majlis_001,en,1,2,0.2,0.625,0.416667,1.0,0.833333,0.527778,0.472222,0.305556,0.647059,3,12
majlis_001,en,1,2,0.1,0.625,0.416667,1.0,0.583333,0.444444,0.555556,0.138889,0.25,3,12
majlis_001,en,1,2,0.02,0.625,0.416667,0.833333,0.416667,0.416667,0.416667,0.0,0.0,3,12
majlis_001,en,1,2,0.05,0.625,0.416667,1.0,0.416667,0.416667,0.583333,0.0,0.0,3,12
majlis_001,ar,1,2,0.1,0.875,0.333333,1.0,0.75,0.444444,0.555556,0.305556,0.55,3,12
majlis_001,ar,1,2,0.2,0.875,0.333333,1.0,0.75,0.555556,0.444444,0.194444,0.4375,3,12
majlis_001,ar,1,2,0.05,0.875,0.333333,1.0,0.5,0.388889,0.611111,0.111111,0.181818,3,12
majlis_001,ar,1,2,0.02,0.875,0.333333,0.75,0.333333,0.333333,0.416667,0.0,0.0,3,12
fazaa_001,en,2,3,0.02,0.75,0.666667,0.916667,0.666667,0.666667,0.25,0.0,0.0,3,12
fazaa_001,en,2,3,0.05,0.75,0.666667,1.0,0.666667,0.666667,0.333333,0.0,0.0,3,12
fazaa_001,en,2,3,0.1,0.75,0.666667,1.0,0.666667,0.722222,0.277778,-0.055556,-0.2,3,12
fazaa_001,en,2,3,0.2,0.75,0.666667,1.0,0.5,0.777778,0.222222,-0.277778,-1.25,3,12
fazaa_001,ar,2,3,0.2,0.625,0.416667,1.0,0.416667,0.361111,0.638889,0.055556,0.086957,3,12
fazaa_001,ar,2,3,0.05,0.625,0.416667,1.0,0.416667,0.388889,0.611111,0.027778,0.045455,3,12
fazaa_001,ar,2,3,0.02,0.625,0.416667,0.916667,0.416667,0.416667,0.5,0.0,0.0,3,12
fazaa_001,ar,2,3,0.1,0.625,0.416667,1.0,0.416667,0.416667,0.583333,0.0,0.0,3,12
hayaa_001,en,10,11,0.02,0.875,0.5,0.666667,0.5,0.5,0.166667,0.0,0.0,3,12
hayaa_001,en,10,11,0.05,0.875,0.5,1.0,0.5,0.5,0.5,0.0,0.0,3,12
hayaa_001,en,10,11,0.1,0.875,0.5,1.0,0.5,0.555556,0.444444,-0.055556,-0.125,3,12
hayaa_001,en,10,11,0.2,0.875,0.5,1.0,0.583333,0.638889,0.361111,-0.055556,-0.153846,3,12
hayaa_001,ar,10,11,0.05,0.875,0.166667,1.0,0.166667,0.111111,0.888889,0.055556,0.0625,3,12
hayaa_001,ar,10,11,0.1,0.875,0.166667,1.0,0.166667,0.111111,0.888889,0.055556,0.0625,3,12
hayaa_001,ar,10,11,0.2,0.875,0.166667,1.0,0.166667,0.111111,0.888889,0.055556,0.0625,3,12
hayaa_001,ar,10,11,0.02,0.875,0.166667,0.833333,0.166667,0.166667,0.666667,0.0,0.0,3,12
