concept_id,layer,metric,probe_score,probe_std,chance,lift_over_chance,p_value,n_permutations,majority_class_rate,n_samples
diyafa_001,7,balanced_accuracy,0.533333,0.227303,0.5,0.033333,0.432836,200,0.6,20
diyafa_001,8,balanced_accuracy,0.583333,0.241523,0.5,0.083333,0.288557,200,0.6,20
diyafa_001,9,balanced_accuracy,0.583333,0.241523,0.5,0.083333,0.328358,200,0.6,20
diyafa_001,10,balanced_accuracy,0.583333,0.182574,0.5,0.083333,0.278607,200,0.6,20
diyafa_001,11,balanced_accuracy,0.7,0.187083,0.5,0.2,0.079602,200,0.6,20
diyafa_001,12,balanced_accuracy,0.7,0.187083,0.5,0.2,0.059701,200,0.6,20
diyafa_001,13,balanced_accuracy,0.7,0.187083,0.5,0.2,0.074627,200,0.6,20
diyafa_001,14,balanced_accuracy,0.75,0.158114,0.5,0.25,0.029851,200,0.6,20
diyafa_001,15,balanced_accuracy,0.65,0.2,0.5,0.15,0.149254,200,0.6,20
diyafa_001,16,balanced_accuracy,0.65,0.2,0.5,0.15,0.134328,200,0.6,20
diyafa_001,17,balanced_accuracy,0.65,0.2,0.5,0.15,0.124378,200,0.6,20
diyafa_001,18,balanced_accuracy,0.8,0.187083,0.5,0.3,0.00995,200,0.6,20
diyafa_001,19,balanced_accuracy,0.75,0.223607,0.5,0.25,0.029851,200,0.6,20
diyafa_001,20,balanced_accuracy,0.65,0.2,0.5,0.15,0.139303,200,0.6,20
diyafa_001,21,balanced_accuracy,0.616667,0.145297,0.5,0.116667,0.18408,200,0.6,20
diyafa_001,22,balanced_accuracy,0.566667,0.206828,0.5,0.066667,0.333333,200,0.6,20
diyafa_001,23,balanced_accuracy,0.55,0.331662,0.5,0.05,0.348259,200,0.6,20
karam_001,0,balanced_accuracy,0.6,0.254951,0.5,0.1,0.218905,200,0.6,20
karam_001,1,balanced_accuracy,0.6,0.254951,0.5,0.1,0.243781,200,0.6,20
karam_001,2,balanced_accuracy,0.616667,0.214735,0.5,0.116667,0.21393,200,0.6,20
karam_001,3,balanced_accuracy,0.65,0.254951,0.5,0.15,0.124378,200,0.6,20
karam_001,4,balanced_accuracy,0.6,0.339116,0.5,0.1,0.258706,200,0.6,20
karam_001,5,balanced_accuracy,0.6,0.339116,0.5,0.1,0.238806,200,0.6,20
karam_001,6,balanced_accuracy,0.566667,0.304594,0.5,0.066667,0.283582,200,0.6,20
karam_001,7,balanced_accuracy,0.566667,0.304594,0.5,0.066667,0.318408,200,0.6,20
karam_001,8,balanced_accuracy,0.566667,0.304594,0.5,0.066667,0.293532,200,0.6,20
karam_001,9,balanced_accuracy,0.516667,0.290593,0.5,0.016667,0.442786,200,0.6,20
karam_001,10,balanced_accuracy,0.516667,0.290593,0.5,0.016667,0.432836,200,0.6,20
