concept_id,layer,metric,probe_score,probe_std,chance,lift_over_chance,p_value,n_permutations,majority_class_rate,n_samples
muruah_001,9,balanced_accuracy,0.95,0.1,0.5,0.45,0.004975,200,0.6,20
muruah_001,10,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
muruah_001,11,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
muruah_001,12,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
muruah_001,13,balanced_accuracy,1.0,0.0,0.5,0.5,0.004975,200,0.6,20
muruah_001,14,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
muruah_001,15,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
muruah_001,16,balanced_accuracy,0.9,0.2,0.5,0.4,0.004975,200,0.6,20
muruah_001,17,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.014925,200,0.6,20
muruah_001,18,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.004975,200,0.6,20
muruah_001,19,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.014925,200,0.6,20
muruah_001,20,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.00995,200,0.6,20
muruah_001,21,balanced_accuracy,0.7,0.194365,0.5,0.2,0.054726,200,0.6,20
muruah_001,22,balanced_accuracy,0.833333,0.210819,0.5,0.333333,0.00995,200,0.6,20
muruah_001,23,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.014925,200,0.6,20
diyafa_001,0,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.0199,200,0.6,20
diyafa_001,1,balanced_accuracy,0.616667,0.233333,0.5,0.116667,0.208955,200,0.6,20
diyafa_001,2,balanced_accuracy,0.616667,0.233333,0.5,0.116667,0.238806,200,0.6,20
diyafa_001,3,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.014925,200,0.6,20
diyafa_001,4,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.004975,200,0.6,20
diyafa_001,5,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.0199,200,0.6,20
diyafa_001,6,balanced_accuracy,0.716667,0.266667,0.5,0.216667,0.064677,200,0.6,20
diyafa_001,7,balanced_accuracy,0.866667,0.194365,0.5,0.366667,0.00995,200,0.6,20
diyafa_001,8,balanced_accuracy,0.816667,0.185592,0.5,0.316667,0.014925,200,0.6,20
diyafa_001,9,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.034826,200,0.6,20
diyafa_001,10,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.049751,200,0.6,20
diyafa_001,11,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.044776,200,0.6,20
diyafa_001,12,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.014925,200,0.6,20
diyafa_001,13,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.024876,200,0.6,20
diyafa_001,14,balanced_accuracy,0.766667,0.226078,0.5,0.266667,0.039801,200,0.6,20
