concept_id,reader_language,inject_layer,read_layer,strength,probe_accuracy,baseline_rate,same_language_rate,other_language_rate,mean_random_rate,same_language_lift,transfer_lift,transfer_ratio,n_random,n_prompts
fazaa_001,ar,3,4,0.05,0.625,0.5,0.916667,0.5,0.555556,0.361111,-0.055556,-0.153846,3,12
fazaa_001,ar,3,4,0.2,0.625,0.5,1.0,0.583333,0.666667,0.333333,-0.083333,-0.25,3,12
hayaa_001,en,8,9,0.02,0.625,0.166667,0.333333,0.166667,0.166667,0.166667,0.0,0.0,3,12
hayaa_001,en,8,9,0.05,0.625,0.166667,0.666667,0.166667,0.222222,0.444444,-0.055556,-0.125,3,12
hayaa_001,en,8,9,0.1,0.625,0.166667,1.0,0.166667,0.305556,0.694444,-0.138889,-0.2,3,12
hayaa_001,en,8,9,0.2,0.625,0.166667,1.0,0.166667,0.555556,0.444444,-0.388889,-0.875,3,12
hayaa_001,ar,8,9,0.05,0.75,0.25,0.916667,0.25,0.277778,0.638889,-0.027778,-0.043478,3,12
hayaa_001,ar,8,9,0.02,0.75,0.25,0.833333,0.25,0.277778,0.555556,-0.027778,-0.05,3,12
hayaa_001,ar,8,9,0.1,0.75,0.25,1.0,0.166667,0.388889,0.611111,-0.222222,-0.363636,3,12
hayaa_001,ar,8,9,0.2,0.75,0.25,1.0,0.166667,0.444444,0.555556,-0.277778,-0.5,3,12
