concept_id,layer,probe_accuracy,probe_std,chance_accuracy,lift_over_chance,n_samples
shura_001,4,0.7,0.187083,0.6,0.1,20
shura_001,5,0.75,0.223607,0.6,0.15,20
shura_001,6,0.75,0.223607,0.6,0.15,20
shura_001,7,0.75,0.223607,0.6,0.15,20
shura_001,8,0.7,0.187083,0.6,0.1,20
shura_001,9,0.7,0.187083,0.6,0.1,20
shura_001,10,0.6,0.2,0.6,0.0,20
shura_001,11,0.55,0.187083,0.6,-0.05,20
majlis_001,0,0.65,0.2,0.6,0.05,20
majlis_001,1,0.7,0.187083,0.6,0.1,20
majlis_001,2,0.65,0.122474,0.6,0.05,20
majlis_001,3,0.55,0.1,0.6,-0.05,20
majlis_001,4,0.6,0.122474,0.6,0.0,20
majlis_001,5,0.6,0.122474,0.6,0.0,20
majlis_001,6,0.6,0.122474,0.6,0.0,20
majlis_001,7,0.45,0.1,0.6,-0.15,20
majlis_001,8,0.45,0.1,0.6,-0.15,20
majlis_001,9,0.45,0.1,0.6,-0.15,20
majlis_001,10,0.5,0.158114,0.6,-0.1,20
majlis_001,11,0.5,0.158114,0.6,-0.1,20
fazaa_001,0,0.75,0.158114,0.6,0.15,20
fazaa_001,1,0.7,0.1,0.6,0.1,20
fazaa_001,2,0.75,0.158114,0.6,0.15,20
fazaa_001,3,0.75,0.158114,0.6,0.15,20
fazaa_001,4,0.75,0.158114,0.6,0.15,20
fazaa_001,5,0.7,0.187083,0.6,0.1,20
fazaa_001,6,0.7,0.187083,0.6,0.1,20
fazaa_001,7,0.7,0.187083,0.6,0.1,20
fazaa_001,8,0.65,0.2,0.6,0.05,20
fazaa_001,9,0.65,0.2,0.6,0.05,20
fazaa_001,10,0.6,0.122474,0.6,0.0,20
fazaa_001,11,0.65,0.2,0.6,0.05,20
hayaa_001,0,0.85,0.122474,0.6,0.25,20
hayaa_001,1,0.8,0.187083,0.6,0.2,20
hayaa_001,2,0.9,0.122474,0.6,0.3,20
hayaa_001,3,0.8,0.187083,0.6,0.2,20
hayaa_001,4,0.7,0.187083,0.6,0.1,20
hayaa_001,5,0.8,0.1,0.6,0.2,20
hayaa_001,6,0.7,0.187083,0.6,0.1,20
hayaa_001,7,0.6,0.2,0.6,0.0,20
hayaa_001,8,0.6,0.122474,0.6,0.0,20
hayaa_001,9,0.6,0.254951,0.6,0.0,20
hayaa_001,10,0.6,0.254951,0.6,0.0,20
hayaa_001,11,0.7,0.291548,0.6,0.1,20
